ons,Conservative,Labour,LibDem
E14000604,Incumbent,Challenger,Challenger
E14000605,Incumbent,Challenger,Challenger
E14000606,Incumbent,Challenger,Challenger
E14000607,Incumbent,Challenger,Challenger
E14000608,Challenger,Challenger,Challenger
E14000609,Challenger,Challenger,Incumbent
E14000610,Incumbent,Challenger,Challenger
E14000611,Incumbent,Challenger,Challenger
E14000612,Challenger,Incumbent,Challenger
E14000613,Open,Challenger,Challenger
W07000076,Challenger,Incumbent,Challenger
S14000009,Challenger,Challenger,Incumbent
E14000614,Incumbent,Challenger,Challenger
E14000615,Challenger,Incumbent,Challenger
E14000616,Incumbent,Challenger,Challenger
E14000617,Challenger,Challenger,Incumbent
E14000842,Incumbent,Challenger,Challenger
E14000855,Incumbent,Challenger,Challenger
E14000934,Open,Challenger,Challenger
E14000937,Open,Challenger,Challenger
E14000618,Open,Challenger,Challenger
E14000619,Incumbent,Challenger,Challenger
W07000050,Challenger,Challenger,Incumbent
W07000051,Open,Challenger,Challenger
W07000080,Challenger,Incumbent,Challenger
W07000079,Challenger,Incumbent,Challenger
E14000620,Incumbent,Challenger,Challenger
W07000067,Challenger,Challenger,Challenger
W07000066,Incumbent,Challenger,Challenger
E14000621,Challenger,Challenger,Incumbent
E14000622,Incumbent,Challenger,Challenger
W07000064,Challenger,Challenger,Incumbent
E14000625,Open,Challenger,Challenger
E14000626,Incumbent,Challenger,Challenger
E14000627,Challenger,Challenger,Incumbent
E14000628,Incumbent,Challenger,Challenger
E14000629,Incumbent,Challenger,Challenger
E14000630,Challenger,Challenger,Incumbent
E14000631,Incumbent,Challenger,Challenger
E14000640,Incumbent,Challenger,Challenger
E14000632,Challenger,Incumbent,Challenger
E14000633,Incumbent,Challenger,Challenger
E14000634,Incumbent,Challenger,Challenger
E14000635,Challenger,Challenger,Incumbent
E14000636,Incumbent,Challenger,Challenger
E14000637,Challenger,Incumbent,Challenger
E14000638,Incumbent,Challenger,Challenger
E14000639,Incumbent,Challenger,Challenger
E14000642,Incumbent,Challenger,Challenger
E14000643,Incumbent,Challenger,Challenger
W07000062,Challenger,Incumbent,Challenger
W07000059,Incumbent,Challenger,Challenger
S14000011,Challenger,Incumbent,Challenger
E14000644,Challenger,Challenger,Incumbent
E14000645,Incumbent,Challenger,Challenger
E14000646,Incumbent,Challenger,Challenger
E14000647,Challenger,Incumbent,Challenger
E14000648,Incumbent,Challenger,Challenger
E14000837,Challenger,Challenger,Incumbent
E14000938,Incumbent,Challenger,Challenger
E14000991,Incumbent,Challenger,Challenger
E14000649,Challenger,Open,Challenger
E14000650,Challenger,Incumbent,Challenger
E14000651,Challenger,Incumbent,Challenger
E14000652,Incumbent,Challenger,Challenger
E14000653,Incumbent,Challenger,Challenger
E14000654,Incumbent,Challenger,Challenger
E14000655,Challenger,Incumbent,Challenger
E14000656,Open,Challenger,Challenger
S14000012,Challenger,Incumbent,Challenger
W07000070,Challenger,Incumbent,Challenger
E14000657,Challenger,Incumbent,Challenger
E14000658,Challenger,Incumbent,Challenger
E14000659,Incumbent,Challenger,Challenger
E14000660,Incumbent,Challenger,Challenger
W07000042,Challenger,Incumbent,Challenger
E14000661,Challenger,Incumbent,Challenger
E14000662,Challenger,Incumbent,Challenger
E14000663,Challenger,Incumbent,Challenger
E14000664,Incumbent,Challenger,Challenger
E14000814,Incumbent,Challenger,Challenger
E14000843,Challenger,Incumbent,Challenger
E14000935,Incumbent,Challenger,Challenger
E14000665,Incumbent,Challenger,Challenger
E14000623,Incumbent,Challenger,Challenger
E14000678,Incumbent,Challenger,Challenger
E14000838,Challenger,Challenger,Incumbent
E14000950,Incumbent,Challenger,Challenger
E14001000,Incumbent,Challenger,Challenger
E14000666,Incumbent,Challenger,Challenger
E14000667,Challenger,Incumbent,Challenger
E14000668,Challenger,Incumbent,Challenger
E14000669,Challenger,Incumbent,Challenger
E14000815,Challenger,Challenger,Open
E14000839,Open,Challenger,Challenger
E14000936,Incumbent,Challenger,Challenger
E14001031,Incumbent,Challenger,Challenger
E14000670,Incumbent,Challenger,Challenger
E14000671,Challenger,Incumbent,Challenger
E14000672,Open,Challenger,Challenger
E14000673,Challenger,Open,Challenger
S14000013,Challenger,Incumbent,Challenger
S14000014,Incumbent,Challenger,Challenger
S14000018,Challenger,Challenger,Incumbent
S14000059,Challenger,Incumbent,Challenger
S14000015,Challenger,Challenger,Challenger
S14000016,Challenger,Open,Challenger
S14000017,Challenger,Incumbent,Challenger
E14000641,Challenger,Incumbent,Challenger
E14000840,Challenger,Incumbent,Challenger
E14000856,Challenger,Incumbent,Challenger
W07000061,Challenger,Challenger,Challenger
E14000674,Incumbent,Challenger,Challenger
E14000675,Challenger,Incumbent,Challenger
E14000676,Challenger,Incumbent,Challenger
E14000677,Challenger,Incumbent,Challenger
E14000679,Challenger,Incumbent,Challenger
S14000019,Challenger,Incumbent,Challenger
S14000020,Challenger,Incumbent,Challenger
E14000684,Challenger,Challenger,Incumbent
E14000685,Challenger,Challenger,Incumbent
E14000686,Open,Challenger,Challenger
S14000022,Challenger,Incumbent,Challenger
S14000023,Challenger,Incumbent,Challenger
S14000024,Challenger,Incumbent,Challenger
S14000025,Challenger,Open,Challenger
S14000026,Challenger,Challenger,Incumbent
E14000687,Challenger,Open,Challenger
E14000688,Challenger,Open,Challenger
E14000689,Incumbent,Challenger,Challenger
E14000690,Challenger,Incumbent,Challenger
E14000691,Incumbent,Challenger,Challenger
E14000692,Incumbent,Challenger,Challenger
E14000693,Incumbent,Challenger,Challenger
E14000694,Incumbent,Challenger,Challenger
E14000695,Open,Challenger,Challenger
E14000696,Challenger,Incumbent,Challenger
E14000697,Incumbent,Challenger,Challenger
E14000698,Challenger,Incumbent,Challenger
S14000028,Challenger,Open,Challenger
E14000699,Open,Challenger,Challenger
E14000700,Open,Challenger,Challenger
E14000701,Challenger,Incumbent,Challenger
S14000049,Challenger,Challenger,Open
E14000702,Incumbent,Challenger,Challenger
E14000703,Incumbent,Challenger,Challenger
E14000704,Incumbent,Challenger,Challenger
E14000705,Incumbent,Challenger,Challenger
E14000706,Incumbent,Challenger,Challenger
E14000707,Incumbent,Challenger,Challenger
E14000708,Challenger,Incumbent,Challenger
E14000709,Challenger,Incumbent,Challenger
E14000710,Challenger,Incumbent,Challenger
E14000711,Incumbent,Challenger,Challenger
S14000029,Challenger,Incumbent,Challenger
S14000030,Challenger,Incumbent,Challenger
S14000031,Challenger,Incumbent,Challenger
S14000032,Challenger,Incumbent,Challenger
S14000033,Challenger,Incumbent,Challenger
S14000034,Challenger,Incumbent,Challenger
S14000035,Challenger,Incumbent,Challenger
S14000036,Challenger,Open,Challenger
E14000712,Incumbent,Challenger,Challenger
S14000037,Challenger,Challenger,Open
E14000713,Incumbent,Challenger,Challenger
W07000046,Challenger,Open,Challenger
E14000714,Incumbent,Challenger,Challenger
E14000715,Incumbent,Challenger,Challenger
E14000716,Challenger,Open,Challenger
E14000717,Incumbent,Challenger,Challenger
E14000718,Challenger,Open,Challenger
E14000719,Incumbent,Challenger,Challenger
E14000720,Challenger,Incumbent,Challenger
E14000721,Challenger,Incumbent,Challenger
E14000722,Incumbent,Challenger,Challenger
E14000723,Challenger,Open,Challenger
E14000724,Incumbent,Challenger,Challenger
E14000725,Challenger,Incumbent,Challenger
E14000726,Challenger,Incumbent,Challenger
E14000680,Incumbent,Challenger,Challenger
E14000844,Open,Challenger,Challenger
E14000857,Open,Challenger,Challenger
E14000727,Challenger,Open,Challenger
E14000728,Incumbent,Challenger,Challenger
E14000729,Incumbent,Challenger,Challenger
E14000730,Incumbent,Challenger,Challenger
E14000731,Incumbent,Challenger,Challenger
E14000732,Challenger,Incumbent,Challenger
E14000733,Challenger,Incumbent,Challenger
E14000734,Incumbent,Challenger,Challenger
E14000735,Incumbent,Challenger,Challenger
E14000736,Open,Challenger,Challenger
E14000737,Challenger,Incumbent,Challenger
E14000738,Challenger,Challenger,Open
E14000739,Incumbent,Challenger,Challenger
E14000740,Challenger,Incumbent,Challenger
E14000741,Incumbent,Challenger,Challenger
E14000742,Incumbent,Challenger,Challenger
E14000743,Incumbent,Challenger,Challenger
E14000847,Incumbent,Challenger,Challenger
E14000744,Incumbent,Challenger,Challenger
E14000845,Incumbent,Challenger,Challenger
E14000951,Incumbent,Challenger,Challenger
E14000745,Open,Challenger,Challenger
E14000746,Incumbent,Challenger,Challenger
E14000747,Challenger,Incumbent,Challenger
E14000748,Incumbent,Challenger,Challenger
E14000749,Incumbent,Challenger,Challenger
E14000750,Challenger,Open,Challenger
E14000751,Incumbent,Challenger,Challenger
E14000752,Challenger,Challenger,Incumbent
E14000753,Open,Challenger,Challenger
E14000754,Challenger,Incumbent,Challenger
E14000755,Open,Challenger,Challenger
E14000756,Challenger,Incumbent,Challenger
E14000771,Challenger,Incumbent,Challenger
E14000772,Challenger,Incumbent,Challenger
E14000773,Challenger,Incumbent,Challenger
E14000757,Incumbent,Challenger,Challenger
E14000758,Challenger,Incumbent,Challenger
E14000759,Incumbent,Challenger,Challenger
E14000760,Challenger,Incumbent,Challenger
S14000038,Challenger,Incumbent,Challenger
S14000039,Challenger,Challenger,Incumbent
E14000761,Incumbent,Challenger,Challenger
E14000762,Incumbent,Challenger,Challenger
E14000763,Challenger,Incumbent,Challenger
E14000764,Challenger,Incumbent,Challenger
W07000077,Challenger,Incumbent,Challenger
E14000765,Challenger,Incumbent,Challenger
E14000766,Incumbent,Challenger,Challenger
E14000767,Incumbent,Challenger,Challenger
E14000768,Open,Challenger,Challenger
E14000769,Incumbent,Challenger,Challenger
S14000040,Challenger,Incumbent,Challenger
E14000770,Challenger,Challenger,Incumbent
E14000774,Incumbent,Challenger,Challenger
S14000041,Challenger,Open,Challenger
E14000775,Challenger,Incumbent,Challenger
S14000042,Challenger,Incumbent,Challenger
E14001033,Challenger,Incumbent,Challenger
E14000776,Incumbent,Challenger,Challenger
E14000777,Challenger,Incumbent,Challenger
E14000778,Challenger,Open,Challenger
E14000779,Challenger,Incumbent,Challenger
E14000780,Challenger,Challenger,Incumbent
E14000781,Challenger,Incumbent,Challenger
E14000782,Challenger,Incumbent,Challenger
E14000783,Challenger,Incumbent,Challenger
E14000784,Challenger,Incumbent,Challenger
E14000858,Incumbent,Challenger,Challenger
E14000940,Open,Challenger,Challenger
E14000785,Challenger,Incumbent,Challenger
E14000786,Challenger,Challenger,Incumbent
E14000789,Challenger,Open,Challenger
E14000787,Challenger,Incumbent,Challenger
E14000788,Challenger,Incumbent,Challenger
E14000790,Challenger,Incumbent,Challenger
E14000791,Incumbent,Challenger,Challenger
E14000792,Incumbent,Challenger,Challenger
S14000043,Challenger,Incumbent,Challenger
E14000793,Challenger,Incumbent,Challenger
E14000794,Challenger,Incumbent,Challenger
E14000795,Challenger,Incumbent,Challenger
E14000796,Challenger,Incumbent,Challenger
S14000044,Challenger,Incumbent,Challenger
W07000045,Challenger,Incumbent,Challenger
E14000797,Incumbent,Challenger,Challenger
E14000798,Open,Challenger,Challenger
E14000799,Incumbent,Challenger,Challenger
E14000800,Challenger,Incumbent,Challenger
E14000801,Challenger,Incumbent,Challenger
E14000802,Incumbent,Challenger,Challenger
E14000803,Incumbent,Challenger,Challenger
E14000804,Incumbent,Challenger,Challenger
E14000805,Challenger,Incumbent,Challenger
E14000806,Incumbent,Challenger,Challenger
E14000807,Challenger,Incumbent,Challenger
E14000808,Challenger,Incumbent,Challenger
E14000809,Challenger,Challenger,Incumbent
E14000810,Challenger,Incumbent,Challenger
E14000811,Incumbent,Challenger,Challenger
E14000812,Incumbent,Challenger,Challenger
W07000071,Challenger,Open,Challenger
E14000819,Challenger,Incumbent,Challenger
E14000820,Challenger,Incumbent,Challenger
S14000045,Challenger,Open,Challenger
E14000821,Incumbent,Challenger,Challenger
E14000822,Incumbent,Challenger,Challenger
E14000823,Challenger,Incumbent,Challenger
E14000824,Incumbent,Challenger,Challenger
W07000054,Incumbent,Challenger,Challenger
W07000063,Incumbent,Challenger,Challenger
S14000046,Challenger,Challenger,Challenger
E14000825,Incumbent,Challenger,Challenger
E14000826,Challenger,Incumbent,Challenger
S14000047,Challenger,Incumbent,Challenger
S14000027,Challenger,Challenger,Challenger
W07000069,Challenger,Open,Challenger
E14000827,Incumbent,Challenger,Challenger
E14000828,Incumbent,Challenger,Challenger
E14000829,Incumbent,Challenger,Challenger
E14000830,Incumbent,Challenger,Challenger
E14000834,Challenger,Incumbent,Challenger
E14000831,Challenger,Incumbent,Challenger
E14000832,Challenger,Incumbent,Challenger
E14000833,Challenger,Incumbent,Challenger
W07000055,Challenger,Incumbent,Challenger
W07000056,Challenger,Incumbent,Challenger
E14000835,Incumbent,Challenger,Challenger
E14000816,Incumbent,Challenger,Challenger
E14000848,Challenger,Challenger,Incumbent
E14000859,Incumbent,Challenger,Challenger
E14000941,Incumbent,Challenger,Challenger
E14000952,Incumbent,Challenger,Challenger
E14000836,Challenger,Incumbent,Challenger
E14000861,Incumbent,Challenger,Challenger
E14000862,Open,Challenger,Challenger
E14000942,Incumbent,Challenger,Challenger
E14000863,Incumbent,Challenger,Challenger
E14000864,Challenger,Challenger,Incumbent
E14000865,Challenger,Incumbent,Challenger
E14000866,Challenger,Incumbent,Challenger
E14000867,Challenger,Incumbent,Challenger
E14000868,Incumbent,Challenger,Challenger
S14000050,Challenger,Incumbent,Challenger
W07000074,Challenger,Incumbent,Challenger
E14000869,Incumbent,Challenger,Challenger
E14000870,Challenger,Incumbent,Challenger
E14000871,Challenger,Incumbent,Challenger
S14000051,Challenger,Challenger,Incumbent
E14000872,Incumbent,Challenger,Challenger
E14000873,Challenger,Incumbent,Challenger
E14000874,Incumbent,Challenger,Challenger
S14000052,Challenger,Incumbent,Challenger
S14000053,Challenger,Incumbent,Challenger
E14000875,Incumbent,Challenger,Challenger
E14000876,Challenger,Incumbent,Challenger
E14000877,Incumbent,Challenger,Challenger
S14000054,Challenger,Challenger,Challenger
E14000878,Incumbent,Challenger,Challenger
E14000879,Challenger,Incumbent,Challenger
E14000880,Incumbent,Challenger,Challenger
W07000075,Challenger,Incumbent,Challenger
E14000881,Incumbent,Challenger,Challenger
E14000882,Challenger,Incumbent,Challenger
E14000883,Incumbent,Challenger,Challenger
E14000884,Challenger,Challenger,Incumbent
W07000065,Incumbent,Challenger,Challenger
E14000885,Challenger,Incumbent,Challenger
E14000886,Incumbent,Challenger,Challenger
E14000887,Incumbent,Challenger,Challenger
E14000888,Incumbent,Challenger,Challenger
E14000889,Incumbent,Challenger,Challenger
E14000890,Incumbent,Challenger,Challenger
E14000891,Challenger,Challenger,Open
E14000892,Incumbent,Challenger,Challenger
E14000893,Incumbent,Challenger,Challenger
S14000021,Challenger,Incumbent,Challenger
W07000052,Challenger,Incumbent,Challenger
E14000894,Incumbent,Challenger,Challenger
E14000895,Open,Challenger,Challenger
E14000896,Incumbent,Challenger,Challenger
E14000897,Challenger,Incumbent,Challenger
E14000898,Incumbent,Challenger,Challenger
E14000899,Incumbent,Challenger,Challenger
E14000900,Incumbent,Challenger,Challenger
E14000901,Incumbent,Challenger,Challenger
S14000055,Challenger,Challenger,Incumbent
E14000902,Incumbent,Challenger,Challenger
E14000903,Challenger,Incumbent,Challenger
E14000904,Challenger,Incumbent,Challenger
E14000905,Incumbent,Challenger,Challenger
E14000906,Incumbent,Challenger,Challenger
E14000907,Incumbent,Challenger,Challenger
E14000908,Incumbent,Challenger,Challenger
S14000056,Challenger,Incumbent,Challenger
E14000909,Incumbent,Challenger,Challenger
E14000910,Incumbent,Challenger,Challenger
E14000960,Incumbent,Challenger,Challenger
E14000961,Challenger,Challenger,Incumbent
E14000962,Challenger,Open,Challenger
E14000963,Challenger,Open,Challenger
E14000964,Challenger,Challenger,Incumbent
E14000911,Challenger,Open,Challenger
E14000912,Incumbent,Challenger,Challenger
E14000913,Incumbent,Challenger,Challenger
E14000914,Challenger,Incumbent,Challenger
E14000915,Challenger,Incumbent,Challenger
E14000916,Challenger,Incumbent,Challenger
E14000917,Incumbent,Challenger,Challenger
E14000918,Incumbent,Challenger,Challenger
E14000921,Challenger,Open,Challenger
E14000919,Challenger,Incumbent,Challenger
E14000922,Challenger,Challenger,Incumbent
E14000923,Challenger,Open,Challenger
E14000920,Challenger,Incumbent,Challenger
E14000924,Incumbent,Challenger,Challenger
E14000925,Incumbent,Challenger,Challenger
E14000926,Incumbent,Challenger,Challenger
E14000849,Incumbent,Challenger,Challenger
E14000927,Incumbent,Challenger,Challenger
E14000928,Incumbent,Challenger,Challenger
E14000929,Incumbent,Challenger,Challenger
E14000930,Challenger,Incumbent,Challenger
E14000931,Challenger,Challenger,Incumbent
E14000850,Incumbent,Challenger,Challenger
E14000846,Incumbent,Challenger,Challenger
E14000932,Challenger,Challenger,Open
E14000939,Incumbent,Challenger,Challenger
E14000943,Open,Challenger,Challenger
E14000944,Challenger,Incumbent,Challenger
E14000955,Challenger,Open,Challenger
E14000956,Challenger,Incumbent,Challenger
E14000957,Incumbent,Challenger,Challenger
E14000958,Challenger,Challenger,Incumbent
E14000959,Incumbent,Challenger,Challenger
E14000965,Incumbent,Challenger,Challenger
E14000966,Incumbent,Challenger,Challenger
E14000945,Incumbent,Challenger,Challenger
E14000967,Challenger,Incumbent,Challenger
E14000968,Incumbent,Challenger,Challenger
S14000057,Challenger,Open,Challenger
E14000969,Challenger,Incumbent,Challenger
E14000970,Challenger,Incumbent,Challenger
E14000971,Incumbent,Challenger,Challenger
E14000972,Challenger,Incumbent,Challenger
E14000973,Challenger,Open,Challenger
E14000974,Challenger,Incumbent,Challenger
E14000975,Incumbent,Challenger,Challenger
E14000976,Incumbent,Challenger,Challenger
E14000977,Incumbent,Challenger,Challenger
E14000978,Challenger,Incumbent,Challenger
E14000979,Challenger,Incumbent,Challenger
E14000980,Incumbent,Challenger,Challenger
E14000624,Incumbent,Challenger,Challenger
E14000981,Incumbent,Challenger,Challenger
E14000946,Open,Challenger,Challenger
E14001034,Incumbent,Challenger,Challenger
E14000982,Challenger,Incumbent,Challenger
E14000681,Incumbent,Challenger,Challenger
E14000983,Incumbent,Challenger,Challenger
E14000953,Incumbent,Challenger,Challenger
E14000817,Incumbent,Challenger,Challenger
E14000984,Challenger,Challenger,Incumbent
E14000985,Incumbent,Challenger,Challenger
W07000048,Challenger,Open,Challenger
W07000047,Challenger,Incumbent,Challenger
E14000851,Incumbent,Challenger,Challenger
E14000947,Incumbent,Challenger,Challenger
E14000986,Incumbent,Challenger,Challenger
E14000987,Incumbent,Challenger,Challenger
E14000988,Challenger,Challenger,Open
E14000989,Challenger,Incumbent,Challenger
E14000990,Incumbent,Challenger,Challenger
E14000852,Incumbent,Challenger,Challenger
E14000948,Open,Challenger,Challenger
E14000993,Open,Challenger,Challenger
E14000994,Challenger,Challenger,Incumbent
E14000995,Incumbent,Challenger,Challenger
E14000996,Incumbent,Challenger,Challenger
E14000997,Open,Challenger,Challenger
E14000998,Challenger,Incumbent,Challenger
E14000999,Challenger,Challenger,Incumbent
W07000053,Challenger,Open,Challenger
E14001001,Incumbent,Challenger,Challenger
E14001002,Challenger,Incumbent,Challenger
E14001003,Incumbent,Challenger,Challenger
E14001004,Incumbent,Challenger,Challenger
E14001005,Challenger,Challenger,Incumbent
E14001006,Challenger,Incumbent,Challenger
E14000853,Challenger,Incumbent,Challenger
E14001007,Open,Challenger,Challenger
W07000060,Challenger,Incumbent,Challenger
W07000078,Incumbent,Challenger,Challenger
E14001008,Challenger,Incumbent,Challenger
E14001009,Challenger,Incumbent,Challenger
E14001010,Challenger,Incumbent,Challenger
E14001011,Challenger,Incumbent,Challenger
E14001012,Challenger,Incumbent,Challenger
E14001013,Challenger,Incumbent,Challenger
E14001014,Challenger,Incumbent,Challenger
E14001015,Incumbent,Challenger,Challenger
E14001016,Challenger,Incumbent,Challenger
E14001017,Challenger,Incumbent,Challenger
E14001018,Incumbent,Challenger,Challenger
E14001019,Incumbent,Challenger,Challenger
E14000854,Open,Challenger,Challenger
E14001020,Challenger,Incumbent,Challenger
E14001021,Incumbent,Challenger,Challenger
E14001022,Incumbent,Challenger,Challenger
E14001023,Open,Challenger,Challenger
E14001024,Incumbent,Challenger,Challenger
E14001025,Incumbent,Challenger,Challenger
E14001026,Challenger,Challenger,Incumbent
E14001027,Incumbent,Challenger,Challenger
E14001028,Challenger,Incumbent,Challenger
E14001029,Challenger,Incumbent,Challenger
E14001030,Challenger,Incumbent,Challenger
E14001032,Challenger,Incumbent,Challenger
E14001036,Challenger,Incumbent,Challenger
E14001037,Challenger,Challenger,Incumbent
E14001038,Incumbent,Challenger,Challenger
E14001039,Challenger,Incumbent,Challenger
E14000860,Incumbent,Challenger,Challenger
E14000954,Incumbent,Challenger,Challenger
E14001040,Incumbent,Challenger,Challenger
E14001041,Incumbent,Challenger,Challenger
E14001042,Incumbent,Challenger,Challenger
E14001043,Challenger,Incumbent,Challenger
E14001044,Incumbent,Challenger,Challenger
E14001045,Incumbent,Challenger,Challenger
E14001046,Incumbent,Challenger,Challenger
E14001047,Incumbent,Challenger,Challenger
E14001048,Incumbent,Challenger,Challenger
E14001049,Challenger,Incumbent,Challenger
E14001050,Challenger,Incumbent,Challenger
E14001051,Incumbent,Challenger,Challenger
E14001052,Incumbent,Challenger,Challenger
E14000818,Open,Challenger,Challenger
E14001035,Incumbent,Challenger,Challenger
E14001053,Challenger,Open,Challenger
E14001054,Challenger,Incumbent,Challenger
E14000682,Incumbent,Challenger,Challenger
E14001055,Incumbent,Challenger,Challenger
E14000992,Incumbent,Challenger,Challenger
W07000044,Challenger,Incumbent,Challenger
E14001056,Incumbent,Challenger,Challenger
E14001057,Incumbent,Challenger,Challenger
E14001058,Incumbent,Challenger,Challenger
E14001059,Challenger,Incumbent,Challenger
E14001060,Challenger,Challenger,Incumbent
W07000041,Challenger,Incumbent,Challenger
E14001061,Challenger,Open,Challenger
E14001062,Incumbent,Challenger,Challenger
E14000683,Incumbent,Challenger,Challenger
